Código Departamento,Departamento,Código Entidad,Entidad,Dimensión,Subcategoría,Indicador,Dato Numérico,Dato Cualitativo,Año,Mes,Fuente,Unidad de Medida
76,Valle del Cauca,76736,Sevilla,Educación,Acceso a la educación,Cobertura bruta en educación - Total,93.81,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76823,Toro,Educación,Acceso a la educación,Cobertura bruta en educación - Total,104.33,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76828,Trujillo,Educación,Acceso a la educación,Cobertura bruta en educación - Total,94.93,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76834,Tuluá,Educación,Acceso a la educación,Cobertura bruta en educación - Total,103.92,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76845,Ulloa,Educación,Acceso a la educación,Cobertura bruta en educación - Total,82.84,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76863,Versalles,Educación,Acceso a la educación,Cobertura bruta en educación - Total,85.47,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76869,Vijes,Educación,Acceso a la educación,Cobertura bruta en educación - Total,82.73,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76890,Yotoco,Educación,Acceso a la educación,Cobertura bruta en educación - Total,110.94,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76892,Yumbo,Educación,Acceso a la educación,Cobertura bruta en educación - Total,133.4,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76895,Zarzal,Educación,Acceso a la educación,Cobertura bruta en educación - Total,95.46,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
81,Arauca,81000,Arauca,Educación,Acceso a la educación,Cobertura bruta en educación - Total,95.41,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
81,Arauca,81001,Arauca,Educación,Acceso a la educación,Cobertura bruta en educación - Total,86.48,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
81,Arauca,81065,Arauquita,Educación,Acceso a la educación,Cobertura bruta en educación - Total,99.99,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
81,Arauca,81220,Cravo Norte,Educación,Acceso a la educación,Cobertura bruta en educación - Total,90.93,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
81,Arauca,81300,Fortul,Educación,Acceso a la educación,Cobertura bruta en educación - Total,83.2,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
81,Arauca,81591,Puerto Rondón,Educación,Acceso a la educación,Cobertura bruta en educación - Total,91.22,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
81,Arauca,81736,Saravena,Educación,Acceso a la educación,Cobertura bruta en educación - Total,99.7,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
81,Arauca,81794,Tame,Educación,Acceso a la educación,Cobertura bruta en educación - Total,107.03,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76000,Valle del Cauca,Educación,Acceso a la educación,Cobertura bruta en educación - Total,99.99,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76001,Cali,Educación,Acceso a la educación,Cobertura bruta en educación - Total,95.91,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
