codigo_depto,depto,cod_entidad,entidad,anualidad,matematicas,lectura
70,Sucre,70204,Colosó,2010,45.81,45.04
70,Sucre,70215,Corozal,2010,48.18,48.28
70,Sucre,70221,Coveñas,2010,45.23,44.69
70,Sucre,70230,Chalán,2010,44.23,45.27
70,Sucre,70233,El Roble,2010,43.77,45.04
70,Sucre,70235,Galeras,2010,47.07,48.76
70,Sucre,70265,Guaranda,2010,44.66,46.0
70,Sucre,70400,La Unión,2010,49.55,49.28
68,Santander,68895,Zapatoca,2010,50.77,47.66
68,Santander,68000,Santander,2010,52.53,51.4
68,Santander,68001,Bucaramanga,2010,55.04,53.82
68,Santander,68013,Aguada,2010,47.56,47.03
68,Santander,68020,Albania,2010,48.33,49.64
68,Santander,68051,Aratoca,2010,48.98,47.71
68,Santander,68867,Vetas,2010,49.61,47.35
68,Santander,68872,Villanueva,2010,54.4,50.98
68,Santander,68673,San Benito,2010,48.11,46.52
68,Santander,68679,San Gil,2010,53.79,52.57
68,Santander,68682,San Joaquín,2010,49.05,47.26
68,Santander,68684,San José de Miranda,2010,50.21,48.83
68,Santander,68686,San Miguel,2010,45.7,46.25
68,Santander,68689,San Vicente de Chucurí,2010,48.87,48.0
68,Santander,68705,Santa Bárbara,2010,44.19,44.93
68,Santander,68720,Santa Helena del Opón,2010,48.83,47.64
68,Santander,68745,Simacota,2010,49.23,48.08
68,Santander,68755,Socorro,2010,51.17,51.2
68,Santander,68770,Suaita,2010,48.38,46.79
68,Santander,68773,Sucre,2010,49.97,49.79
68,Santander,68780,Suratá,2010,52.98,50.76
68,Santander,68820,Tona,2010,49.29,50.98
68,Santander,68855,Valle de San José,2010,52.26,48.21
68,Santander,68861,Vélez,2010,51.81,51.24
68,Santander,68077,Barbosa,2010,52.04,50.11
68,Santander,68079,Barichara,2010,54.09,53.94
68,Santander,68081,Barrancabermeja,2010,51.48,50.35
68,Santander,68092,Betulia,2010,48.01,47.5
68,Santander,68101,Bolívar,2010,47.69,49.46
68,Santander,68121,Cabrera,2010,51.56,50.1
68,Santander,68132,California,2010,45.53,47.46
68,Santander,68147,Capitanejo,2010,47.58,46.99
68,Santander,68152,Carcasí,2010,46.57,45.18
68,Santander,68160,Cepitá,2010,45.16,44.22
68,Santander,68162,Cerrito,2010,46.9,45.27
68,Santander,68167,Charalá,2010,55.09,53.64
68,Santander,68169,Charta,2010,48.7,45.97
68,Santander,68176,Chima,2010,46.92,47.54
68,Santander,68179,Chipatá,2010,45.18,46.2
68,Santander,68190,Cimitarra,2010,47.97,47.59
68,Santander,68207,Concepción,2010,50.23,48.16
68,Santander,68209,Confines,2010,51.34,45.53
68,Santander,68211,Contratación,2010,58.47,54.53
68,Santander,68217,Coromoro,2010,46.91,47.27
68,Santander,68229,Curití,2010,50.57,50.91
68,Santander,68235,El Carmen de Chucurí,2010,46.55,46.77
68,Santander,68245,El Guacamayo,2010,48.77,51.68
68,Santander,68250,El Peñón,2010,49.02,51.31
68,Santander,68255,El Playón,2010,49.26,47.52
68,Santander,68264,Encino,2010,48.62,48.51
68,Santander,68266,Enciso,2010,51.89,46.92
68,Santander,68271,Florián,2010,47.87,51.06
68,Santander,68276,Floridablanca,2010,54.71,53.54
68,Santander,68296,Galán,2010,44.92,45.54
68,Santander,68298,Gámbita,2010,48.39,45.99
68,Santander,68307,Girón,2010,53.14,51.33
68,Santander,68318,Guaca,2010,46.89,44.35
68,Santander,68320,Guadalupe,2010,50.83,51.13
68,Santander,68322,Guapotá,2010,46.79,47.36
68,Santander,68324,Guavatá,2010,47.55,47.65
68,Santander,68327,Güepsa,2010,51.31,49.78
68,Santander,68344,Hato,2010,47.41,45.94
68,Santander,68368,Jesús María,2010,49.73,47.64
68,Santander,68370,Jordán,2010,41.39,47.38
68,Santander,68377,La Belleza,2010,50.97,49.73
68,Santander,68385,Landázuri,2010,46.99,48.75
68,Santander,68397,La Paz,2010,49.4,51.43
68,Santander,68406,Lebrija,2010,50.87,49.36
68,Santander,68418,Los Santos,2010,49.69,49.65
68,Santander,68425,Macaravita,2010,47.21,45.68
68,Santander,68432,Málaga,2010,53.52,51.71
68,Santander,68444,Matanza,2010,46.36,47.87
68,Santander,68464,Mogotes,2010,52.85,49.0
68,Santander,68468,Molagavita,2010,47.57,46.58
68,Santander,68498,Ocamonte,2010,48.7,47.47
68,Santander,68500,Oiba,2010,51.37,50.03
68,Santander,68502,Onzaga,2010,50.23,49.02
68,Santander,68522,Palmar,2010,47.5,51.23
68,Santander,68524,Palmas del Socorro,2010,45.52,45.33
68,Santander,68533,Páramo,2010,56.97,54.0
68,Santander,68547,Piedecuesta,2010,51.52,50.65
68,Santander,68549,Pinchote,2010,53.36,50.78
68,Santander,68572,Puente Nacional,2010,51.25,50.12
68,Santander,68573,Puerto Parra,2010,46.21,45.08
68,Santander,68575,Puerto Wilches,2010,46.29,45.05
68,Santander,68615,Rionegro,2010,48.8,47.52
68,Santander,68655,Sabana de Torres,2010,48.58,47.59
68,Santander,68669,San Andrés,2010,48.52,47.24
76,Valle del Cauca,76895,Zarzal,2010,47.26,48.08
76,Valle del Cauca,76863,Versalles,2010,48.23,48.63
76,Valle del Cauca,76869,Vijes,2010,50.44,47.7
76,Valle del Cauca,76890,Yotoco,2010,47.55,48.33
76,Valle del Cauca,76892,Yumbo,2010,48.39,48.54
76,Valle del Cauca,76364,Jamundí,2010,48.75,49.74
76,Valle del Cauca,76377,La Cumbre,2010,49.03,49.63
76,Valle del Cauca,76400,La Unión,2010,47.68,49.04
76,Valle del Cauca,76403,La Victoria,2010,46.77,46.7
76,Valle del Cauca,76497,Obando,2010,45.78,46.57
76,Valle del Cauca,76520,Palmira,2010,51.35,51.36
76,Valle del Cauca,76563,Pradera,2010,49.16,49.85
76,Valle del Cauca,76606,Restrepo,2010,46.6,48.24
76,Valle del Cauca,76616,Riofrío,2010,48.32,49.12
76,Valle del Cauca,76622,Roldanillo,2010,49.99,49.78
76,Valle del Cauca,76670,San Pedro,2010,46.88,48.09
76,Valle del Cauca,76736,Sevilla,2010,47.88,49.33
76,Valle del Cauca,76823,Toro,2010,47.38,47.35
76,Valle del Cauca,76828,Trujillo,2010,48.79,48.27
76,Valle del Cauca,76834,Tuluá,2010,49.98,50.29
76,Valle del Cauca,76845,Ulloa,2010,49.43,47.6
76,Valle del Cauca,76000,Valle del Cauca,2010,49.48,50.04
76,Valle del Cauca,76001,Cali,2010,50.21,50.79
76,Valle del Cauca,76020,Alcalá,2010,48.66,47.63
76,Valle del Cauca,76036,Andalucía,2010,49.12,50.03
76,Valle del Cauca,76041,Ansermanuevo,2010,46.81,47.95
76,Valle del Cauca,76054,Argelia,2010,47.33,47.85
76,Valle del Cauca,76100,Bolívar,2010,46.65,48.48
76,Valle del Cauca,76109,Buenaventura,2010,45.9,47.1
76,Valle del Cauca,76111,Guadalajara de Buga,2010,49.65,50.22
76,Valle del Cauca,76113,Bugalagrande,2010,48.51,49.48
76,Valle del Cauca,76122,Caicedonia,2010,48.3,48.68
76,Valle del Cauca,76126,Calima,2010,47.72,48.85
76,Valle del Cauca,76130,Candelaria,2010,48.0,49.04
76,Valle del Cauca,76147,Cartago,2010,48.15,48.74
76,Valle del Cauca,76233,Dagua,2010,47.51,47.67
76,Valle del Cauca,76243,El Águila,2010,45.8,48.36
76,Valle del Cauca,76246,El Cairo,2010,49.03,47.28
76,Valle del Cauca,76248,El Cerrito,2010,50.03,49.38
76,Valle del Cauca,76250,El Dovio,2010,47.39,48.47
76,Valle del Cauca,76275,Florida,2010,48.7,49.24
76,Valle del Cauca,76306,Ginebra,2010,50.1,50.69
76,Valle del Cauca,76318,Guacarí,2010,46.16,47.48
73,Tolima,73873,Villarrica,2010,50.01,47.84
73,Tolima,73000,Tolima,2010,49.35,49.6
73,Tolima,73001,Ibagué,2010,51.05,51.4
73,Tolima,73024,Alpujarra,2010,49.37,48.33
73,Tolima,73026,Alvarado,2010,46.39,47.94
73,Tolima,73030,Ambalema,2010,47.22,46.92
73,Tolima,73043,Anzoátegui,2010,46.11,46.96
73,Tolima,73055,Armero,2010,46.6,46.84
73,Tolima,73067,Ataco,2010,47.83,47.07
73,Tolima,73124,Cajamarca,2010,46.84,48.69
73,Tolima,73148,Carmen de Apicalá,2010,48.72,47.59
73,Tolima,73152,Casabianca,2010,46.07,48.39
73,Tolima,73168,Chaparral,2010,48.13,48.28
73,Tolima,73200,Coello,2010,45.93,50.22
73,Tolima,73217,Coyaima,2010,43.6,45.28
73,Tolima,73226,Cunday,2010,46.78,46.47
73,Tolima,73236,Dolores,2010,50.06,48.55
73,Tolima,73268,Espinal,2010,48.6,48.01
73,Tolima,73270,Falan,2010,50.03,50.43
73,Tolima,73275,Flandes,2010,46.78,46.56
73,Tolima,73283,Fresno,2010,48.51,48.1
73,Tolima,73319,Guamo,2010,46.38,46.67
73,Tolima,73347,Herveo,2010,50.63,52.35
73,Tolima,73349,Honda,2010,49.61,49.33
73,Tolima,73352,Icononzo,2010,50.46,49.72
73,Tolima,73408,Lérida,2010,47.37,46.39
73,Tolima,73411,Líbano,2010,49.4,50.76
73,Tolima,73443,San Sebastián de Mariquita,2010,49.8,50.04
73,Tolima,73449,Melgar,2010,49.9,49.44
73,Tolima,73461,Murillo,2010,48.38,51.01
73,Tolima,73483,Natagaima,2010,46.91,46.7
73,Tolima,73504,Ortega,2010,46.45,47.83
73,Tolima,73520,Palocabildo,2010,47.77,47.43
73,Tolima,73547,Piedras,2010,48.33,50.08
73,Tolima,73861,Venadillo,2010,49.22,48.72
73,Tolima,73870,Villahermosa,2010,48.64,48.06
73,Tolima,73678,San Luis,2010,48.22,49.13
73,Tolima,73686,Santa Isabel,2010,49.67,47.57
73,Tolima,73770,Suárez,2010,47.39,47.38
73,Tolima,73854,Valle de San Juan,2010,45.15,44.86
73,Tolima,73555,Planadas,2010,47.09,47.25
73,Tolima,73563,Prado,2010,48.28,48.88
73,Tolima,73585,Purificación,2010,47.45,46.96
73,Tolima,73616,Rioblanco,2010,47.55,47.46
73,Tolima,73622,Roncesvalles,2010,45.07,47.85
73,Tolima,73624,Rovira,2010,47.07,47.54
73,Tolima,73671,Saldaña,2010,47.47,47.81
73,Tolima,73675,San Antonio,2010,46.1,47.53
81,Arauca,81300,Fortul,2010,48.88,48.01
81,Arauca,81591,Puerto Rondón,2010,47.02,48.29
81,Arauca,81736,Saravena,2010,50.51,48.51
81,Arauca,81794,Tame,2010,48.71,47.07
81,Arauca,81000,Arauca,2010,49.87,48.49
81,Arauca,81001,Arauca,2010,50.68,49.89
81,Arauca,81065,Arauquita,2010,49.52,47.24
81,Arauca,81220,Cravo Norte,2010,47.19,46.81
85,Casanare,85430,Trinidad,2010,47.64,47.19
85,Casanare,85440,Villanueva,2010,50.07,49.36
