Código Departamento,Departamento,Código Entidad,Entidad,Dimensión,Subcategoría,Indicador,Dato Numérico,Dato Cualitativo,Año,Mes,Fuente,Unidad de Medida
47,Magdalena,47692,San Sebastián de Buenavista,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,45.39,,2010,12,ICFES,Puntos
47,Magdalena,47703,San Zenón,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,43.96,,2010,12,ICFES,Puntos
47,Magdalena,47960,Zapayán,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,44.74,,2010,12,ICFES,Puntos
47,Magdalena,47980,Zona Bananera,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,43.7,,2010,12,ICFES,Puntos
47,Magdalena,47707,Santa Ana,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,44.37,,2010,12,ICFES,Puntos
47,Magdalena,47720,Santa Bárbara de Pinto,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,45.1,,2010,12,ICFES,Puntos
47,Magdalena,47745,Sitionuevo,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,45.6,,2010,12,ICFES,Puntos
47,Magdalena,47798,Tenerife,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,44.92,,2010,12,ICFES,Puntos
50,Meta,50711,Vistahermosa,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,49.05,,2010,12,ICFES,Puntos
50,Meta,50686,San Juanito,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.05,,2010,12,ICFES,Puntos
50,Meta,50689,San Martín,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,49.53,,2010,12,ICFES,Puntos
50,Meta,50287,Fuente de Oro,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.42,,2010,12,ICFES,Puntos
50,Meta,50313,Granada,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,48.79,,2010,12,ICFES,Puntos
50,Meta,50318,Guamal,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,48.64,,2010,12,ICFES,Puntos
50,Meta,50325,Mapiripán,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,43.84,,2010,12,ICFES,Puntos
50,Meta,50330,Mesetas,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.31,,2010,12,ICFES,Puntos
50,Meta,50350,La Macarena,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,48.22,,2010,12,ICFES,Puntos
50,Meta,50370,Uribe,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.46,,2010,12,ICFES,Puntos
50,Meta,50400,Lejanías,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.2,,2010,12,ICFES,Puntos
50,Meta,50450,Puerto Concordia,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,44.84,,2010,12,ICFES,Puntos
50,Meta,50568,Puerto Gaitán,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,46.43,,2010,12,ICFES,Puntos
50,Meta,50573,Puerto López,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,49.42,,2010,12,ICFES,Puntos
50,Meta,50577,Puerto Lleras,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.35,,2010,12,ICFES,Puntos
50,Meta,50590,Puerto Rico,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,48.41,,2010,12,ICFES,Puntos
50,Meta,50606,Restrepo,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,51.18,,2010,12,ICFES,Puntos
50,Meta,50680,San Carlos de Guaroa,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,46.73,,2010,12,ICFES,Puntos
50,Meta,50683,San Juan de Arama,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,48.1,,2010,12,ICFES,Puntos
50,Meta,50000,Meta,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.2,,2010,12,ICFES,Puntos
50,Meta,50001,Villavicencio,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.89,,2010,12,ICFES,Puntos
50,Meta,50006,Acacías,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.58,,2010,12,ICFES,Puntos
50,Meta,50110,Barranca de Upía,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,48.77,,2010,12,ICFES,Puntos
50,Meta,50124,Cabuyaro,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.13,,2010,12,ICFES,Puntos
50,Meta,50150,Castilla La Nueva,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,49.43,,2010,12,ICFES,Puntos
50,Meta,50223,Cubarral,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,49.26,,2010,12,ICFES,Puntos
50,Meta,50226,Cumaral,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.0,,2010,12,ICFES,Puntos
50,Meta,50245,El Calvario,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.68,,2010,12,ICFES,Puntos
50,Meta,50251,El Castillo,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,45.67,,2010,12,ICFES,Puntos
